PAYTON_HUBS/TRASH/WORKSPACE_GRANTS_DIRTY_PIPELINE__2026-01-20__2026-01-20__21-59-38/OUTPUT_SUBMISSION/PACK_04__Emotional_Infrastructure.zip	57224043	86b32e68db6cb7e72deaf302b0e3d0cbe638708052855beea4452b2dcc642fc9
PAYTON_HUBS/TRASH/WORKSPACE_GRANTS_DIRTY_PIPELINE__2026-01-20__2026-01-20__21-59-38/OUTPUT_SUBMISSION/PACK_01__Emotional_Infrastructure.zip	56271545	39c5e20e3a51b53c764b60f155760672f50a8b4af39991af31cfb3970e32d796
PAYTON_HUBS/TRASH/WORKSPACE_GRANTS_DIRTY_PIPELINE__2026-01-20__2026-01-20__21-59-38/OUTPUT_SUBMISSION/PACK_07__Emotional_Infrastructure.zip	6992071	fce572272757a1cf9ef66e3bbe7c471ae12c69805360051e4d8c294c277e940c
PAYTON_HUBS/TRASH/WORKSPACE_GRANTS_DIRTY_PIPELINE__2026-01-20__2026-01-20__21-59-38/OUTPUT_SUBMISSION/PACK_06__Emotional_Infrastructure.zip	55853979	245304ed53c60d9d43088ee08a90fabd2db4d06915f2f68fd30c20c679297eea
PAYTON_HUBS/TRASH/WORKSPACE_GRANTS_DIRTY_PIPELINE__2026-01-20__2026-01-20__21-59-38/OUTPUT_SUBMISSION/PACK_03__Emotional_Infrastructure.zip	44492007	89ac427a9604299be93d10ef6017e52ff71a5dbf7b9d8b62485e2deeb6189f3c
PAYTON_HUBS/TRASH/WORKSPACE_GRANTS_DIRTY_PIPELINE__2026-01-20__2026-01-20__21-59-38/OUTPUT_SUBMISSION/PACK_02__Emotional_Infrastructure.zip	52779536	ad20e938ff660ec1bada95b849b5ceb20c6b329ba66f59948e115a22a7b5fcff
PAYTON_HUBS/TRASH/WORKSPACE_GRANTS_DIRTY_PIPELINE__2026-01-20__2026-01-20__21-59-38/OUTPUT_SUBMISSION/PACK_05__Emotional_Infrastructure.zip	46887038	4725f47062567d4facee22f458dd6f97e9c5ef347ff254f6bb901b37eafc42b4
PAYTON_HUBS/HUB_LEGAL_FORENSIC/WEEKLY/WEEKLY__2026-01-11__to__2026-01-17__2026-01-17__23-37-52.zip	7109	d5082b91a3876c6f2d03c3214011445d147537364611ab9dde1acd4ba2302ade
PAYTON_HUBS/HUB_LEGAL_FORENSIC/DAY_CLOSE/DAY_CLOSE__2026-01-13__2026-01-13__00-01-25.zip	3763	b97a7e0678ca542bfcb8a2e58d1b1cfcb4394782f63bd708e014a8f9ffe0340f
PAYTON_HUBS/HUB_LEGAL_FORENSIC/DAY_CLOSE/DAY_CLOSE__2026-01-13__22-30-00.zip	7025	459ba3ee16b08c9ffad3ebcf912465d970b4fdcebb03a252a1f9bded715c09af
PAYTON_HUBS/HUB_LEGAL_FORENSIC/DAY_CLOSE/DAY_CLOSE__2026-01-17__2026-01-17__04-20-36.zip	6264	65c4b19f9ca021b76008caf515b13da8719f7c2b15a2edcb00c7ee6ddaca50e8
PAYTON_HUBS/HUB_LEGAL_FORENSIC/DAY_CLOSE/DAY_CLOSE__2026-01-16__2026-01-17__04-36-39.zip	6361	05f6c3a4bbcefb95d99fb938b4adf33b1888b9a573d5e8beccbeaad97bb6f0ca
PAYTON_HUBS/HUB_LEGAL_FORENSIC/DAY_CLOSE/DAY_CLOSE__2026-01-17__2026-01-17__23-48-25.zip	6567	956ee5608acb25c8f1be5e0de5572da4003acc748170dad2547d5d98893b3e05
PAYTON_HUBS/HUB_LEGAL_FORENSIC/DAY_CLOSE/DAY_CLOSE__2026-01-17__2026-01-17__23-49-33.zip	6567	356454c2499efeca3e4fde1e74ba2039133145d5780924bc8be9c00cf55227bc
PAYTON_HUBS/HUB_LEGAL_FORENSIC/DAY_CLOSE/DAY_CLOSE__2026-01-17__2026-01-17__23-51-26.zip	6567	0213a7672e500c1cf7875def41c3997458b0d9e2af00f6f099daef667c97a5fb
